driver-pairs,distance
"(1, '20', '11')",36.499332403313446
"(1, '20', '14')",43.4400569436079
"(1, '20', '81')",47.33415750748927
"(1, '20', '24')",51.55853664450267
"(1, '20', '21')",37.74016725297533
"(1, '20', '77')",39.088296120551576
"(1, '20', '27')",37.05785021473594
"(1, '20', '16')",31.91739820497735
"(1, '20', '55')",33.594995112645584
"(1, '20', '23')",38.50812394068924
"(1, '20', '1')",39.4794988494377
"(1, '20', '18')",48.69317481728587
"(1, '20', '63')",40.70963573523423
"(1, '20', '2')",40.52242584560802
"(1, '20', '31')",40.25424719672583
"(1, '20', '22')",46.535795531919504
"(1, '20', '44')",36.199708973888725
"(1, '20', '4')",42.10448991203349
"(1, '20', '10')",41.06350172828
"(1, '11', '20')",33.959320498269605
"(1, '11', '14')",30.78016588410164
"(1, '11', '81')",41.83644481388392
"(1, '11', '24')",35.29097917362092
"(1, '11', '21')",38.91086066348093
"(1, '11', '77')",34.58274902828972
"(1, '11', '27')",42.2769708021669
"(1, '11', '16')",38.07487707641072
"(1, '11', '55')",33.77143441063621
"(1, '11', '23')",31.03873342853846
"(1, '11', '1')",44.844734210267745
"(1, '11', '18')",28.044272685984524
"(1, '11', '63')",46.06064183307527
"(1, '11', '2')",29.158217868312175
"(1, '11', '31')",39.01961119069332
"(1, '11', '22')",41.119030351635764
"(1, '11', '44')",30.975710230110916
"(1, '11', '4')",37.373079310622224
"(1, '11', '10')",33.29079677510855
"(1, '14', '20')",40.89862813154848
"(1, '14', '11')",45.51697697497468
"(1, '14', '81')",19.462059406402954
"(1, '14', '24')",47.52423647620839
"(1, '14', '21')",40.52572653337063
"(1, '14', '77')",47.64170312195108
"(1, '14', '27')",30.21259258558042
"(1, '14', '16')",24.315754607440603
"(1, '14', '55')",39.838341572356484
"(1, '14', '23')",30.783109783704234
"(1, '14', '1')",26.259350294469197
"(1, '14', '18')",34.018383535215406
"(1, '14', '63')",23.128742889091793
"(1, '14', '2')",33.965257351961775
"(1, '14', '31')",26.2977693108266
"(1, '14', '22')",19.38742371153297
"(1, '14', '44')",27.984399045224723
"(1, '14', '4')",18.267225240609857
"(1, '14', '10')",40.4855841787874
"(1, '81', '20')",43.19830303632738
"(1, '81', '11')",42.4233128637197
"(1, '81', '14')",36.358316126484574
"(1, '81', '24')",40.87921254638229
"(1, '81', '21')",43.129660964129755
"(1, '81', '77')",42.734184184767834
"(1, '81', '27')",30.21392506019703
"(1, '81', '16')",29.569595024284627
"(1, '81', '55')",45.71119524946292
"(1, '81', '23')",30.779687928998477
"(1, '81', '1')",26.24202435889724
"(1, '81', '18')",38.44435342238671
"(1, '81', '63')",23.488852073838853
"(1, '81', '2')",37.27663505321957
"(1, '81', '31')",32.63397681893064
"(1, '81', '22')",19.94822010812228
"(1, '81', '44')",31.04184304127554
"(1, '81', '4')",21.898188036548742
"(1, '81', '10')",43.655764491426886
"(1, '24', '20')",42.697502649990014
"(1, '24', '11')",40.708046386277005
"(1, '24', '14')",57.29009976528729
"(1, '24', '81')",48.09631155790118
"(1, '24', '21')",41.3052965510981
"(1, '24', '77')",42.83254888536696
"(1, '24', '27')",30.197363850279668
"(1, '24', '16')",43.65319441858785
"(1, '24', '55')",37.28272060349984
"(1, '24', '23')",30.759089852152414
"(1, '24', '1')",26.212429611504124
"(1, '24', '18')",54.54846722911666
"(1, '24', '63')",22.894832501921798
"(1, '24', '2')",55.6685685503954
"(1, '24', '31')",43.9041376188797
"(1, '24', '22')",47.529646314761365
"(1, '24', '44')",25.66957476773862
"(1, '24', '4')",42.6761673730797
"(1, '24', '10')",35.93659063386362
"(1, '21', '20')",37.62985333910916
"(1, '21', '11')",39.142152374549894
"(1, '21', '14')",44.581902157841036
"(1, '21', '81')",36.44258437730079
"(1, '21', '24')",41.481372524282065
"(1, '21', '77')",40.791959513564606
"(1, '21', '27')",38.902018323906404
